"","ID","Parameter_ID","Name","Description","Number","icon"
"661","127A-2","127A","Balanced/deranked","Balanced/deranked",2,"ccccccc"
"662","127A-3","127A","Deranked","Deranked",3,"cdd0000"
"663","128A-1","128A","Balanced","Balanced",1,"c0000dd"
"664","128A-2","128A","Balanced/deranked","Balanced/deranked",2,"ccccccc"
"665","128A-3","128A","Deranked","Deranked",3,"cdd0000"
"666","129A-1","129A","Identical","Identity: a single word denotes both 'hand' and 'arm'",1,"cffff00"
"667","129A-2","129A","Different","Differentiation: one word denotes 'hand' and another, different word denotes 'arm'",2,"cdd0000"
"668","130A-1","130A","Identical","Identity: a single word denotes both 'hand' and 'finger' and/or 'fingers'",1,"cffff00"
"669","130A-2","130A","Different","Differentiation: one word denotes 'hand' and another, different word denotes 'finger' (or, very rarely, 'fingers')",2,"cdd0000"
"670","130B-1","130B","Hunter-gatherers","Hunter-gatherers",1,"cdd0000"
"671","130B-2","130B","Farmer-foragers","Farmer-foragers",2,"cffffff"
"672","130B-3","130B","Full-fledged farmers","Full-fledged farmers",3,"c0000dd"
"673","131A-1","131A","Decimal","Decimal",1,"c0000dd"
"674","131A-2","131A","Hybrid vigesimal-decimal","Hybrid vigesimal-decimal",2,"cff66ff"
"675","131A-3","131A","Pure vigesimal","Pure vigesimal",3,"cdd0000"
"676","131A-4","131A","Other base","Other base",4,"ccccccc"
"677","131A-5","131A","Extended body-part system","Extended body-part system",5,"cffff00"
"678","131A-6","131A","Restricted","Restricted",6,"cffffff"
"679","132A-1","132A","3","3 categories",1,"cffffff"
"680","132A-2","132A","3.5","Between 3 and 4 categories",2,"cffffcc"
"681","132A-3","132A","4","4 categories",3,"cffff00"
"682","132A-4","132A","4.5","Between 4 and 5 categories",4,"cff6600"
"683","132A-5","132A","5","5 categories",5,"cdd0000"
"684","132A-6","132A","5.5","Between 5 and 6 categories",6,"caa0000"
"685","132A-7","132A","6","6 categories",7,"c000000"
"686","133A-1","133A","3-4","3, between 3 and 4, or 4 categories",1,"cffffff"
"687","133A-2","133A","4.5-5.5","Between 4 and 5, 5, or between 5 and 6 categories",2,"cffffcc"
"688","133A-3","133A","6-6.5","6 or between 6 and 7 categories",3,"cffff00"
"689","133A-4","133A","7-7.5","7 or between 7 and 8 categories",4,"cff6600"
"690","133A-5","133A","8-8.5","8 or between 8 and 9 categories",5,"cdd0000"
"691","133A-6","133A","9-10","9, between 9 and 10, or 10 categories",6,"caa0000"
"692","133A-7","133A","11","More than 10 categories",7,"c000000"
"693","134A-1","134A","Green vs. blue","Green and blue",1,"cdd0000"
"694","134A-2","134A","Green/blue","Green-or-blue ('grue')",2,"cffff00"
"695","134A-3","134A","Black/green/blue","Black-or-green-or-blue",3,"dffff00"
"696","134A-4","134A","Black/blue vs. green","Black-or-blue and green",4,"ddd0000"
"697","134A-5","134A","Yellow/green/blue","Yellow-or-green-or-blue",5,"sffff00"
"698","134A-6","134A","Yellow/green vs. blue","Yellow-or-green and blue",6,"sdd0000"
"699","134A-7","134A","None","Green and blue not both encoded in any basic color term",7,"cffffff"
"700","135A-1","135A","Red vs. yellow","Red and yellow",1,"cdd0000"
"701","135A-2","135A","Red/yellow","Red-or-yellow",2,"cffff00"
"702","135A-3","135A","Yellow/green/blue vs. red","Red and yellow-or-green-or-blue",3,"ddd0000"
"703","135A-4","135A","Yellow/green vs. red","Red and yellow-or-green",4,"sdd0000"
"704","135A-5","135A","None","Red and yellow not both encoded in any basic color term",5,"cffffff"
"705","136A-1","136A","No M-T pronouns","No M-T pronouns",1,"cffffff"
"706","136A-2","136A","M-T pronouns, paradigmatic","M-T pronouns, paradigmatic",2,"cdd0000"
"707","136A-3","136A","M-T pronouns, non-paradigmatic","M-T pronouns, non-paradigmatic",3,"cff66ff"
"708","136B-1","136B","No m in first person singular","No m in first person singular",1,"cffffff"
"709","136B-2","136B","m in first person singular","m in first person singular",2,"cdd0000"
"710","137A-1","137A","No N-M pronouns","No N-M pronouns",1,"cffffff"
"711","137A-2","137A","N-M pronouns, paradigmatic","N-M pronouns, paradigmatic",2,"cdd0000"
"712","137A-3","137A","N-M pronouns, non-paradigmatic","N-M pronouns, non-paradigmatic",3,"cff66ff"
"713","137B-1","137B","No m in second person singular","No m in second person singular",1,"cffffff"
"714","137B-2","137B","m in second person singular","m in second person singular",2,"cdd0000"
"715","138A-1","138A","Words derived from Sinitic cha","Words derived from Sinitic cha",1,"cdd0000"
"716","138A-2","138A","Words derived from Min Nan Chinese te","Words derived from Min Nan Chinese te",2,"c0000dd"
"717","138A-3","138A","Others","Others",3,"ccccccc"
"718","139A-1","139A","None","No irregular negatives",1,"cffffff"
"719","139A-2","139A","One","One irregular negative",2,"cffff00"
"720","139A-3","139A","Some (2-5)","Some irregular negatives (2-5)",3,"cff6600"
"721","139A-4","139A","Many (more than 5)","Many irregular negatives (more than 5)",4,"cdd0000"
"722","140A-1","140A","None","No question particle",1,"cffffff"
"723","140A-2","140A","One","One question particle",2,"cff66ff"
"724","140A-3","140A","More than one","More than one question particle",3,"cdd0000"
"725","141A-1","141A","Alphabetic","Alphabetic",1,"ccccccc"
"726","141A-2","141A","Consonantal","Consonantal",2,"c0000dd"
"727","141A-3","141A","Alphasyllabic","Alphasyllabic",3,"c990099"
"728","141A-4","141A","Syllabic","Syllabic",4,"cdd0000"
"729","141A-5","141A","Logographic","Logographic",5,"cffff00"
"730","141A-6","141A","Mixed logographic–syllabic","Mixed logographic–syllabic",6,"caa0000"
"731","142A-1","142A","Logical meanings","Clicks may express logical meanings ('yes' and/or 'no')",1,"cdd0000"
"732","142A-2","142A","Affective meanings","Clicks may express affective but not logical meanings",2,"cff66ff"
"733","142A-3","142A","Other or none","Clicks may express neither affective nor logical meanings",3,"cffffff"
"734","143A-1","143A","NegV","NegV",1,"cdd0000"
"735","143A-2","143A","VNeg","VNeg",2,"c0000dd"
"736","143A-3","143A","[Neg-V]","[Neg-V]",3,"tdd0000"
"737","143A-4","143A","[V-Neg]","[V-Neg]",4,"t0000dd"
"738","143A-5","143A","Negative Tone","Negative Tone",5,"c000000"
"739","143A-6","143A","Type 1 / Type 2","Type 1 / Type 2",6,"c990099"
"740","143A-7","143A","Type 1 / Type 3","Type 1 / Type 3",7,"sdd0000"
"741","143A-8","143A","Type 1 / Type 4","Type 1 / Type 4",8,"s990099"
"742","143A-9","143A","Type 2 / Type 3","Type 2 / Type 3",9,"d990099"
"743","143A-10","143A","Type 2 / Type 4","Type 2 / Type 4",10,"s0000dd"
"744","143A-11","143A","Type 3 / Type 4","Type 3 / Type 4",11,"t990099"
"745","143A-12","143A","Type 3 / Negative Infix","Type 3 / Negative Infix",12,"tff66ff"
"746","143A-13","143A","OptSingleNeg","Optional Single Negation",13,"caa0000"
"747","143A-14","143A","ObligDoubleNeg","Obligatory Double Negation",14,"c66ff33"
"748","143A-15","143A","OptDoubleNeg","Optional Double Negation",15,"cff6600"
"749","143A-16","143A","OptTripleNeg&ObligDoubleNeg","Optional Triple Negation with Obligatory Double Negation",16,"f66ff33"
"750","143A-17","143A","OptTripleNeg&OptDoubleNeg","Optional Triple Negation with Optional Double Negation",17,"fff6600"
"751","143B-1","143B","NegVNeg","NegVNeg",1,"cdd0000"
"752","143B-2","143B","Neg[V-Neg]","Neg[V-Neg]",2,"tdd0000"
"753","143B-3","143B","[Neg-V]Neg","[Neg-V]Neg",3,"c0000dd"
"754","143B-4","143B","[Neg-V-Neg]","[Neg-V-Neg]",4,"t0000dd"
"755","143B-5","143B","Negative tone & VNeg","Negative tone & VNeg",5,"d000000"
"756","143B-6","143B","Negative tone & [Neg-V]","Negative tone & [Neg-V]",6,"f000000"
"757","143B-7","143B","NegNegV","NegNegV",7,"c66ff33"
"758","143B-8","143B","Neg[Neg-V]","Neg[Neg-V]",8,"t66ff33"
"759","143B-9","143B","VNegNeg","VNegNeg",9,"cffff00"
"760","143B-10","143B","Type 1 / Type 2","Type 1 / Type 2",10,"sdd0000"
"761","143B-11","143B","Type 1 / Type 3","Type 1 / Type 3",11,"c990099"
"762","143B-12","143B","Type 1 / Type 5","Type 1 / Type 5",12,"c000000"
"763","143B-13","143B","Type 1 / Type 7","Type 1 / Type 7",13,"c009900"
"764","143B-14","143B","Type 1 / Type 9","Type 1 / Type 9",14,"cff6600"
"765","143B-15","143B","Type 2 / Type 4","Type 2 / Type 4",15,"t990099"
"766","143B-16","143B","ObligDoubleNeg&OptTripleNeg","Obligatory double negation with optional triple negation",16,"cffffcc"
"767","143C-1","143C","NegV(Neg)","NegV(Neg)",1,"cdd0000"
"768","143C-2","143C","(Neg)VNeg","(Neg)VNeg",2,"tdd0000"
"769","143C-3","143C","Neg[V(-Neg)]","Neg[V(-Neg)]",3,"c990099"
"770","143C-4","143C","(Neg)[V-Neg]","(Neg)[V-Neg]",4,"t990099"
"771","143C-5","143C","[Neg-V](Neg)","[Neg-V](Neg)",5,"c0000dd"
"772","143C-6","143C","[(Neg-)V]Neg","[(Neg-)V]Neg",6,"t0000dd"
"773","143C-7","143C","[Neg-V(-Neg)]","[Neg-V(-Neg)]",7,"c66ff33"
"774","143C-8","143C","[(Neg-)V-Neg]","[(Neg-)V-Neg]",8,"t66ff33"
"775","143C-9","143C","V(Neg)Neg","V(Neg)Neg",9,"caa0000"
"776","143C-10","143C","[V-Neg](Neg)","[V-Neg](Neg)",10,"faa0000"
"777","143C-11","143C","Neg(Neg)V","Neg(Neg)V",11,"cffff00"
"778","143C-12","143C","Neg[(Neg-)]V","Neg[(Neg-)]V",12,"dffff00"
"779","143C-13","143C","NegV&OptChangeVerbStem","NegV plus optional change to verb stem",13,"ccccccc"
"780","143C-14","143C","NegV/[Neg-V-Neg]","NegV/[Neg-V-Neg]",14,"tff66ff"
"781","143C-15","143C","VNeg/[Neg-V-Neg]","VNeg/[Neg-V-Neg]",15,"cff66ff"
"782","143C-16","143C","[Neg-V]/NegVNeg","[Neg-V]/NegVNeg",16,"fff66ff"
"783","143C-17","143C","NegV or NegativeTone&VNeg","NegV or NegativeTone&VNeg",17,"c000000"
"784","143C-18","143C","NegV/[V-Neg]/Neg[V-Neg]","NegV/[V-Neg]/Neg[V-Neg]",18,"c99ffff"
"785","143C-19","143C","NegV/VNeg/NegVNeg","NegV/VNeg/NegVNeg",19,"d99ffff"
"786","143C-20","143C","NegV/[V-Neg]/[Neg-V-Neg]","NegV/[V-Neg]/[Neg-V-Neg]",20,"t99ffff"
"787","143C-21","143C","[Neg-V]/VNeg/[Neg-V-Neg]","[Neg-V]/VNeg/[Neg-V-Neg]",21,"f99ffff"
"788","143C-22","143C","NegV/[Neg-V]/Neg[Neg-V]","NegV/[Neg-V]/Neg[Neg-V]",22,"s99ffff"
"789","143C-23","143C","OptDoubleNeg&OptTripleNeg","Optional double negation with optional triple negation",23,"cffffcc"
"790","143D-1","143D","(Neg)[Neg-V-Neg]","(Neg)[Neg-V-Neg]",1,"cdd0000"
"791","143D-2","143D","[V-Neg]Neg&OptNegInfix or Pref","[V-Neg]Neg with optional negative infix or prefix",2,"c0000dd"
"792","143D-3","143D","NegVNeg/NegNegVNeg","NegVNeg/NegNegVNeg",3,"c66ff33"
"793","143D-4","143D","Neg[V-Neg]/NegVNeg&NegTone","(i) Neg[V-Neg] or (ii) NegVNeg with negative tone",4,"c000000"
"794","143D-5","143D","Neg[V(-Neg)]Neg/[Neg-V(-Neg)]Neg","Neg[V(-Neg)]Neg/[Neg-V(-Neg)]Neg",5,"cff66ff"
"795","143D-6","143D","Neg[V-(Neg)](Neg)","Neg[V-(Neg)](Neg)",6,"cffff00"
"796","143E-1","143E","NegV","Preverbal negative word",1,"cdd0000"
"797","143E-2","143E","[Neg-V]","Negative prefix",2,"c0000dd"
"798","143E-3","143E","NegV&[Neg-V]","Both preverbal negative word and negative prefix",3,"c990099"
"799","143E-4","143E","None","No preverbal negative morpheme",4,"cffffff"
"800","143F-1","143F","VNeg","Postverbal negative word",1,"cdd0000"
"801","143F-2","143F","[V-Neg]","Negative suffix",2,"c0000dd"
"802","143F-3","143F","VNeg&[V-Neg]","Both postverbal negative word and negative suffix",3,"c990099"
"803","143F-4","143F","None","No postverbal negative morpheme",4,"cffffff"
"804","143G-1","143G","NegTone","Negative tone",1,"cdd0000"
"805","143G-2","143G","NegInfix","Negative infix",2,"c0000dd"
"806","143G-3","143G","NegStemChange","Negative stem change",3,"c66ff33"
"807","143G-4","143G","None","No negative tone, infix or stem change",4,"cffffff"
"808","144A-1","144A","NegSVO","NegSVO",1,"cdd0000"
"809","144A-2","144A","SNegVO","SNegVO",2,"c990099"
"810","144A-3","144A","SVNegO","SVNegO",3,"c0000dd"
"811","144A-4","144A","SVONeg","SVONeg",4,"c66ff33"
"812","144A-5","144A","NegSOV","NegSOV",5,"sdd0000"
"813","144A-6","144A","SNegOV","SNegOV",6,"s990099"
"814","144A-7","144A","SONegV","SONegV",7,"s0000dd"
"815","144A-8","144A","SOVNeg","SOVNeg",8,"s66ff33"
"816","144A-9","144A","NegVSO","NegVSO",9,"tdd0000"
"817","144A-10","144A","VSNegO","VSNegO",10,"t0000dd"
"818","144A-11","144A","VSONeg","VSONeg",11,"t66ff33"
"819","144A-12","144A","NegVOS","NegVOS",12,"fdd0000"
"820","144A-13","144A","ONegVS","ONegVS",13,"d990099"
"821","144A-14","144A","OVNegS","OVNegS",14,"d0000dd"
"822","144A-15","144A","OSVNeg","OSVNeg",15,"d66ff33"
"823","144A-16","144A","More than one position","More than one position for negative morpheme, with none dominant",16,"ccccccc"
"824","144A-17","144A","OptSingleNeg","Optional single negation",17,"cffffcc"
"825","144A-18","144A","ObligDoubleNeg","Obligatory double negation",18,"cff6600"
"826","144A-19","144A","OptDoubleNeg","Optional double negation",19,"cffff00"
"827","144A-20","144A","MorphNeg","Morphological negation only (but not double negation)",20,"caa0000"
"828","144A-21","144A","Other","Other languages",21,"c000000"
"829","144B-1","144B","Beginning, not immed preverbal","At beginning of clause separated from verb",1,"cffff00"
"830","144B-2","144B","Preverbal, not beginning or immed","Preceding verb, separated from verb, but not at beginning of clause",2,"cff6600"
"831","144B-3","144B","Immed preverbal","Immediately preverbal",3,"cdd0000"
"832","144B-4","144B","Immed postverbal","Immediately postverbal",4,"c990099"
"833","144B-5","144B","Postverbal, not immed or end","Following verb, separated from verb, but not at end of clause",5,"c0000dd"
"834","144B-6","144B","End, not immed postverbal","At end of clause, separated from verb",6,"c66ff33"
"835","144C-1","144C","VSO, but NegSVO","VSO, but NegSVO",1,"cdd0000"
"836","144C-2","144C","SVO, but SNegOV","SVO, but SNegOV",2,"d990099"
"837","144C-3","144C","SVO, but SONegV","SVO, but SONegV",3,"d0000dd"
"838","144C-4","144C","SVO, but SOVNeg","SVO, but SOVNeg",4,"d66ff33"
"839","144C-5","144C","SVO, but NegVSO","SVO, but NegVSO",5,"sdd0000"
"840","144C-6","144C","SVO but SO[V-Neg]","SVO but SO[V-Neg]",6,"t66ff33"
"841","144C-7","144C","SVO but SO[Neg-V]","SVO but SO[Neg-V]",7,"t0000dd"
"842","144C-8","144C","OSV but NegSVO/O[Neg-V]S","OSV but NegSVO/O[Neg-V]S",8,"cff6600"
"843","144C-9","144C","SVO, but NegSNegOV","SVO, but NegSNegOV",9,"fdd0000"
"844","144C-10","144C","SVO, but SONeg[V-Neg]/SO[Neg-V-Neg]","SVO, but SONeg[V-Neg]/SO[Neg-V-Neg]",10,"f0000dd"
"845","144C-11","144C","SOV but  SONeg[V-Neg]/S[Neg-V-Neg] O","SOV but  SONeg[V-Neg]/S[Neg-V-Neg] O",11,"t990099"
"846","144C-12","144C","SVO/VSO, but NegSVONeg","SVO/VSO, but NegSVONeg",12,"caa0000"
"847","144C-13","144C","SVO/VSO, but [Neg-V]SO(Neg)","SVO/VSO, but [Neg-V]SO(Neg)",13,"sffff00"
"848","144C-14","144C","SVO/SOV, but SVONeg","SVO/SOV, but SVONeg",14,"c66ff33"
"849","144C-15","144C","SVO/SOV, but SNegVO","SVO/SOV, but SNegVO",15,"c990099"
"850","144C-16","144C","SVO/SOV, but SNegOV","SVO/SOV, but SNegOV",16,"f990099"
"851","144C-17","144C","SVO/SOV, but SOVNeg","SVO/SOV, but SOVNeg",17,"f66ff33"
"852","144D-1","144D","NegSVO","NegSVO",1,"cdd0000"
"853","144D-2","144D","SNegVO","SNegVO",2,"c990099"
"854","144D-3","144D","SVNegO","SVNegO",3,"c0000dd"
"855","144D-4","144D","SVONeg","SVONeg",4,"c66ff33"
"856","144D-5","144D","S[Neg-V]O","S[Neg-V]O",5,"t990099"
"857","144D-6","144D","S[V-Neg]O","S[V-Neg]O",6,"t0000dd"
"858","144D-7","144D","SVO&Tone","SVO with tonal negation",7,"c000000"
"859","144D-8","144D","VSO but NegSVO","VSO in affirmative clauses, but NegSVO",8,"sdd0000"
"860","144D-9","144D","SVO/SOV but SVONeg","SVO/SOV in affirmative clauses, but SVONeg",9,"s66ff33"
"861","144D-10","144D","SOV/SOV but SNegVO","SVO/SOV in affirmative clauses, but SNegVO",10,"s990099"
"862","144D-11","144D","Other NegV","Other SVO with preverbal negative word",11,"cff66ff"
"863","144D-12","144D","Other VNeg","Other SVO with postverbal negative word",12,"c9999ff"
"864","144D-13","144D","More than one construction","More than one negative construction",13,"ccccccc"
"865","144D-14","144D","ObligNeg","SVO with obligatory double negation",14,"cff6600"
"866","144D-15","144D","OptNeg","SVO with optional double negation",15,"cffff00"
"867","144E-1","144E","SNegVO/SVNegO","SNegVO/SVNegO",1,"c990099"
"868","144E-2","144E","NegSVO/SNegVO","NegSVO/SNegVO",2,"cdd0000"
"869","144E-3","144E","NegSVO/SVNegO","NegSVO/SVNegO",3,"tdd0000"
"870","144E-4","144E","SNegVO/SVONeg","SNegVO/SVONeg",4,"c66ff33"
"871","144E-5","144E","SVNegO/SVONeg","SVNegO/SVONeg",5,"c0000dd"
"872","144E-6","144E","SVO & Flexible Neg","SVO & Flexible Neg",6,"ccccccc"
"873","144E-7","144E","SNegVO/S[V-Neg]O","SNegVO/S[V-Neg]O",7,"t990099"
"874","144E-8","144E","S[Neg-V]O/SVNegO","S[Neg-V]O/SVNegO",8,"t0000dd"
"875","144E-9","144E","NegSVO/SNegVO/S[V-Neg]O","NegSVO/SNegVO/S[V-Neg]O",9,"fdd0000"
"876","144E-10","144E","SNegVO/NegVSO","SNegVO/NegVSO",10,"f990099"
"877","144E-11","144E","SVONeg/VSONeg","SVONeg/VSONeg",11,"t66ff33"
"878","144E-12","144E","NegSVO/NegVOS","NegSVO/NegVOS",12,"ddd0000"
"879","144E-13","144E","SNegVO/NegVOS","SNegVO/NegVOS",13,"d990099"
"880","144E-14","144E","S[Neg-V]O/[Neg-V]OS","S[Neg-V]O/[Neg-V]OS",14,"s990099"
"881","144E-15","144E","SVONeg/SONegV","SVONeg/SONegV",15,"f66ff33"
"882","144E-16","144E","SVNegO/SOVNeg","SVNegO/SOVNeg",16,"f0000dd"
"883","144E-17","144E","SVONeg/SNegOV/SOVNeg","SVONeg/SNegOV/SOVNeg",17,"s66ff33"
"884","144E-18","144E","NegSVO/SVNegO/NegSOV/SNegOV","NegSVO/SVNegO/NegSOV/SNegOV",18,"cffff00"
"885","144E-19","144E","SNegVO/SONegV/SVONeg/SOVNeg","SNegVO/SONegV/SVONeg/SOVNeg",19,"tffff00"
"886","144E-20","144E","S[Neg-V]O/SO[Neg-V]","S[Neg-V]O/SO[Neg-V]",20,"cffffcc"
"887","144E-21","144E","S[V-Neg]O/SO[V-Neg]","S[V-Neg]O/SO[V-Neg]",21,"tffffcc"
"888","144E-22","144E","SNegVO/SONegV/S[Neg-V]O/SO[Neg-V]","SNegVO/SONegV/S[Neg-V]O/SO[Neg-V]",22,"fffff00"
"889","144E-23","144E","NegSVO/O[Neg-V]S","NegSVO/O[Neg-V]S",23,"caa0000"
"890","144E-24","144E","SVO & NegV/VNeg","SVO & NegV/VNeg",24,"cff66ff"
"891","144E-25","144E","SVO & NegV/[V-Neg]","SVO & NegV/[V-Neg]",25,"tff66ff"
"892","144E-26","144E","SVO/VSO & NegV","SVO/VSO & NegV",26,"cff6600"
"893","144E-27","144E","SVO/VOS & NegV","SVO/VOS & NegV",27,"tff6600"
"894","144E-28","144E","SVO/SOV & NegV/VNeg","SVO/SOV & NegV/VNeg",28,"c000000"
"895","144F-1","144F","SNegVONeg","SNegVONeg",1,"c990099"
"896","144F-2","144F","SNegVNegO","SNegVNegO",2,"c0000dd"
"897","144F-3","144F","SVNegONeg","SVNegONeg",3,"c66ff33"
"898","144F-4","144F","SVO/VSO but NegSVONeg","SVO/VSO in affirmative clauses but NegSVONeg",4,"cdd0000"
"899","144F-5","144F","S[Neg-V]ONeg","S[Neg-V]ONeg",5,"t990099"
"900","144F-6","144F","SNeg[V-Neg]O","SNeg[V-Neg]O",6,"t0000dd"
"901","144F-7","144F","S[Neg-V]NegO","S[Neg-V]NegO",7,"s0000dd"
"902","144F-8","144F","NegS[V-Neg]O","NegS[V-Neg]O",8,"cff6600"
"903","144F-9","144F","S[Neg-V-Neg]O","S[Neg-V-Neg]O",9,"d0000dd"
"904","144F-10","144F","SVNegO&NegTone","SVNegO with negative tone on verb",10,"c000000"
"905","144F-11","144F","S[Neg-V]O&NegTone","S[Neg-V]O with negative tone on verb",11,"t000000"
"906","144F-12","144F","SNegNegVO/SNegVNegO","SNegNegVO/SNegVNegO",12,"cffff00"
"907","144F-13","144F","SNegVNegO/SNegVONeg","SNegVNegO/SNegVONeg",13,"d990099"
"908","144F-14","144F","SNegVONeg/S[Neg-V]ONeg","SNegVONeg/S[Neg-V]ONeg",14,"f990099"
"909","144F-15","144F","(Neg)S(Neg)VONeg","(Neg)S(Neg)VONeg (at least one of the preverbal Negs)",15,"cffffcc"
"910","144F-16","144F","SNeg[V-Neg]O&NegTone/SNegVNegO","SNeg[V-Neg]O and negative tone on verb / SNegVNegO",16,"d000000"
"911","144F-17","144F","S(Neg)[Neg-V-Neg]O","S(Neg)[Neg-V-Neg]O",17,"cff66ff"
"912","144F-18","144F","SNeg[V(-Neg)]ONeg/S[Neg-V(-Neg)]ONeg","SNeg[V(-Neg)]ONeg/S[Neg-V(-Neg)]ONeg",18,"c009900"
"913","144F-19","144F","SNegVONeg/SNegOVNeg","SNegVONeg/SNegOVNeg",19,"f0000dd"
"914","144F-20","144F","SVONeg&NegTone/SNegOVNeg","SVONeg with negative tone on verb / SNegOVNeg",20,"s000000"
"915","144F-21","144F","SNegVONeg/SVNegONeg/NegVOSNeg/VNegOSNeg","SNegVONeg/SVNegONeg/NegVOSNeg/VNegOSNeg",21,"t009900"
"916","144F-22","144F","SVO & NegVNeg","SVO & NegVNeg",22,"ccccccc"
"917","144F-23","144F","S[Neg-V]O & NegV","S[Neg-V]O & NegV",23,"caa0000"
"918","144G-1","144G","SNegVO(Neg)","SNegVO(Neg)",1,"c990099"
"919","144G-2","144G","S(Neg)VONeg","S(Neg)VONeg",2,"t990099"
"920","144G-3","144G","S(Neg)VNegO","S(Neg)VNegO",3,"t0000dd"
"921","144G-4","144G","SNegV(Neg)O","SNegV(Neg)O",4,"c0000dd"
"922","144G-5","144G","(Neg)SVONeg","(Neg)SVONeg",5,"tdd0000"
"923","144G-6","144G","SVNegO(Neg)","SVNegO(Neg)",6,"c66ff33"
"924","144G-7","144G","NegS[V(-Neg)]O","NegS[V(-Neg)]O",7,"sff6600"
"925","144G-8","144G","S[(Neg-)V]NegO","S[(Neg-)V]NegO",8,"d0000dd"
"926","144G-9","144G","S[Neg-V]O(Neg)","S[Neg-V]O(Neg)",9,"f990099"
"927","144G-10","144G","SNegVO/SVNegO&NegTone","SNegVO or SVNegO with tone on verb",10,"c000000"
"928","144G-11","144G","S(Neg)[V(-Neg)]O","S(Neg)[V(-Neg)]O",11,"f0000dd"
"929","144G-12","144G","S[Neg-V(-Neg)]O","S[Neg-V(-Neg)]O",12,"s0000dd"
"930","144G-13","144G","(Neg)SVONeg/S(Neg)VONeg","(Neg)SVONeg/S(Neg)VONeg",13,"c009900"
"931","144G-14","144G","S[Neg-V]O/NegSVNegO","S[Neg-V]O/NegSVNegO",14,"cff66ff"
"932","144G-15","144G","SNeg[V-Neg]O/S[Neg-V-Neg]O","SNeg[V-Neg]O/S[Neg-V-Neg]O",15,"c99ffff"
"933","144G-16","144G","S[V(-Neg)]O & NegV","S[V(-Neg)]O & NegV",16,"ccccccc"
"934","144G-17","144G","SVO/SOV & (Neg)[V-Neg]","SVO/SOV & (Neg)[V-Neg]",17,"cffff00"
"935","144G-18","144G","SVO/VSO & NegV/VNeg/NegVNeg","SVO/VSO & NegV/VNeg/NegVNeg",18,"cffffcc"
"936","144H-1","144H","NoDoubleNeg","Separate word, no double negation",1,"cdd0000"
"937","144H-2","144H","OptDoubleNeg","Separate word, optional double negation, with NegSVO possible without a second negative",2,"c0000dd"
"938","144H-3","144H","OnlyWithAnotherNeg","Separate word, only occurs with another negative morpheme",3,"c66ff33"
"939","144H-4","144H","No NegSVO","SVO but NegSVO does not occur",4,"cffffff"
"940","144I-1","144I","Word&NoDoubleNeg","Separate word, no double negation",1,"cdd0000"
"941","144I-2","144I","Prefix&NoDoubleNeg","Prefix, no double negation",2,"cffff00"
"942","144I-3","144I","Word&OptDoubleNeg","Separate word, optional double negation, with SNegVO possible without a second negative",3,"c0000dd"
"943","144I-4","144I","Prefix&OptDoubleNeg","Prefix, optional double negation, with SNegVO possible without a second negative",4,"c99ffff"
"944","144I-5","144I","Word&OnlyWithAnotherNeg","Separate word, only occurs with another negative morpheme",5,"c66ff33"
"945","144I-6","144I","Prefix&OnlyWithAnotherNeg","Prefix, only occurs with another negative morpheme",6,"cff66ff"
"946","144I-7","144I","Type 1 / Type 2","Type 1 / Type 2",7,"cff6600"
"947","144I-8","144I","No SNegVO","SVO, but SNegVO does not occur",8,"cffffff"
"948","144J-1","144J","Word&NoDoubleNeg","Separate word, no double negation",1,"cdd0000"
"949","144J-2","144J","Suffix&NoDoubleNeg","Suffix, no double negation",2,"cffff00"
"950","144J-3","144J","Word&OptDoubleNeg","Separate word, optional double negation, with SVNegO possible without a second negative",3,"c0000dd"
"951","144J-4","144J","Suffix&OptDoubleNeg","Suffix, optional double negation, with SVNegO possible without a second negative",4,"c99ffff"
"952","144J-5","144J","Word&OnlyWithAnotherNeg","Separate word, only occurs with another negative morpheme",5,"c66ff33"
"953","144J-6","144J","Suffix&OnlyWithAnotherNeg","Suffix, only occurs with another negative morpheme",6,"cff66ff"
"954","144J-7","144J","No SVNegO","SVO, but SVNegO does not occur",7,"cffffff"
"955","144K-1","144K","NoDoubleNeg","Separate word, no double negation",1,"cdd0000"
"956","144K-2","144K","OptDoubleNeg","Separate word, optional double negation, with SVONeg possible without a second negative",2,"c0000dd"
"957","144K-3","144K","OnlyWithAnotherNeg","Separate word, only occurs with another negative morpheme",3,"c66ff33"
"958","144K-4","144K","No SVONeg","SVO but SVONeg does not occur",4,"cffffff"
"959","144L-1","144L","NegSOV","NegSOV",1,"cdd0000"
"960","144L-2","144L","SNegOV","SNegOV",2,"c990099"
"961","144L-3","144L","SONegV","SONegV",3,"c0000dd"
"962","144L-4","144L","SOVNeg","SOVNeg",4,"c66ff33"
"963","144L-5","144L","SO[Neg-V]","SO[Neg-V]",5,"t0000dd"
"964","144L-6","144L","SO[V-Neg]","SO[V-Neg]",6,"t66ff33"
"965","144L-7","144L","SVO but SNegOV","SNegOV but SVO in affirmative clauses",7,"s990099"
"966","144L-8","144L","SVO but SONegV","SONegV but SVO in affirmative clauses",8,"s0000dd"
"967","144L-9","144L","SVO but SOVNeg","SOVNeg but SVO in affirmative clauses",9,"s66ff33"
"968","144L-10","144L","SVO but SO[V-Neg]","SO[V-Neg] but SVO in affirmative clauses",10,"f66ff33"
